id,role,user_story,status,spec_ref,notes
S01,devotee,As a devotee I want to subscribe to a Panchangam calendar feed for my city so Tithi/Nakshatra appear in my calendar,pending,2026-06-10-panchangam-design.md,
S02,devotee,As a devotee I want to receive an alert the evening before Ekadashi so I can prepare for my fast,pending,2026-06-10-panchangam-design.md,
S03,devotee,As a devotee I want to receive alerts before Amavasya / Pournami / Pradosham / Shani Pradosham,pending,2026-06-10-panchangam-design.md,
S04,devotee,As a devotee I want to see Rahu Kalam and other inauspicious windows as calendar blocks with 15-minute advance reminders,pending,2026-06-10-panchangam-design.md,
S05,devotee,As a devotee I want to see Brahma Muhurta / Abhijit Muhurta / Amrita Kalam as auspicious calendar blocks,pending,2026-06-10-panchangam-design.md,
S06,devotee,As a devotee I want to see Varjyam / Durmuhurtham / Choghadiya blocks in my calendar,pending,2026-06-10-panchangam-design.md,
S07,devotee,As a devotee I want to see the full day metadata (Samvatsara / Maasam / Paksham / Vaaram) visible in the all-day event,pending,2026-06-10-panchangam-design.md,
S08,devotee,As a devotee I want to pick my city and calculation system on a landing page and get my webcal subscription URL,pending,2026-06-10-panchangam-design.md,
S09,scholar/priest,As a scholar or priest I want to choose Surya Siddhanta or Vakya system for ritual-accurate timings,pending,2026-06-10-panchangam-design.md,
S10,maintainer,As a maintainer I want feeds regenerated automatically each month without any manual intervention,pending,2026-06-10-panchangam-design.md,
