day,physical_pdf_page,pdf_page_index,printed_page,row_on_page,rasi,degree,arcminute,source_reading,status,notes
1,162,161,125,1,0,12,3,0r 12deg 3min,visually_transcribed,
2,162,161,125,2,0,24,9,0r 24deg 9min,visually_transcribed,
3,162,161,125,3,1,6,22,1r 6deg 22min,visually_transcribed,
4,162,161,125,4,1,18,44,1r 18deg 44min,visually_transcribed,
5,162,161,125,5,2,1,19,2r 1deg 19min,visually_transcribed,
6,162,161,125,6,2,14,9,2r 14deg 9min,visually_transcribed,
7,162,161,125,7,2,27,13,2r 27deg 13min,visually_transcribed,
8,162,161,125,8,3,10,33,3r 10deg 33min,visually_transcribed,
9,162,161,125,9,3,24,9,3r 24deg 9min,visually_transcribed,
10,162,161,125,10,4,7,58,4r 7deg 58min,visually_transcribed,
11,162,161,125,11,4,21,58,4r 21deg 58min,visually_transcribed,
12,162,161,125,12,5,6,8,5r 6deg 8min,visually_transcribed,
13,162,161,125,13,5,20,25,5r 20deg 25min,visually_transcribed,
14,162,161,125,14,6,4,44,6r 4deg 44min,visually_transcribed,
15,162,161,125,15,6,19,2,6r 19deg 2min,visually_transcribed,
16,162,161,125,16,7,3,15,7r 3deg 15min,visually_transcribed,Arcminute 15 confirmed in 250dpi crop; first low-resolution reading 16 was rejected.
17,162,161,125,17,7,17,22,7r 17deg 22min,visually_transcribed,
18,162,161,125,18,8,1,17,8r 1deg 17min,visually_transcribed,
19,162,161,125,19,8,15,1,8r 15deg 1min,visually_transcribed,
20,162,161,125,20,8,28,29,8r 28deg 29min,visually_transcribed,
21,162,161,125,21,9,11,42,9r 11deg 42min,visually_transcribed,
22,162,161,125,22,9,24,40,9r 24deg 40min,visually_transcribed,
23,162,161,125,23,10,7,23,10r 7deg 23min,visually_transcribed,
24,163,162,126,1,10,19,52,10r 19deg 52min,visually_transcribed,
25,163,162,126,2,11,2,10,11r 2deg 10min,visually_transcribed,
26,163,162,126,3,11,14,19,11r 14deg 19min,visually_transcribed,
27,163,162,126,4,11,26,24,11r 26deg 24min,visually_transcribed,
28,163,162,126,5,0,8,26,0r 8deg 26min,visually_transcribed,
29,163,162,126,6,0,20,30,0r 20deg 30min,visually_transcribed,
30,163,162,126,7,1,2,38,1r 2deg 38min,visually_transcribed,
31,163,162,126,8,1,14,55,1r 14deg 55min,visually_transcribed,
32,163,162,126,9,1,27,23,1r 27deg 23min,visually_transcribed,
33,163,162,126,10,2,10,4,2r 10deg 4min,visually_transcribed,
34,163,162,126,11,2,23,0,2r 23deg 0min,visually_transcribed,
35,163,162,126,12,3,6,12,3r 6deg 12min,visually_transcribed,
36,163,162,126,13,3,19,39,3r 19deg 39min,visually_transcribed,
37,163,162,126,14,4,3,21,4r 3deg 21min,visually_transcribed,
38,163,162,126,15,4,17,15,4r 17deg 15min,visually_transcribed,
39,163,162,126,16,5,1,20,5r 1deg 20min,visually_transcribed,
40,163,162,126,17,5,15,33,5r 15deg 33min,visually_transcribed,
41,163,162,126,18,5,29,51,5r 29deg 51min,visually_transcribed,
42,163,162,126,19,6,14,10,6r 14deg 10min,visually_transcribed,
43,163,162,126,20,6,28,27,6r 28deg 27min,visually_transcribed,
44,163,162,126,21,7,12,37,7r 12deg 37min,visually_transcribed,
45,163,162,126,22,7,26,39,7r 26deg 39min,visually_transcribed,
46,163,162,126,23,8,10,30,8r 10deg 30min,visually_transcribed,
47,163,162,126,24,8,24,7,8r 24deg 7min,visually_transcribed,
48,163,162,126,25,9,7,29,9r 7deg 29min,visually_transcribed,
49,163,162,126,26,9,20,35,9r 20deg 35min,visually_transcribed,
50,163,162,126,27,10,3,26,10r 3deg 26min,visually_transcribed,
51,163,162,126,28,10,16,2,10r 16deg 2min,visually_transcribed,
52,164,163,127,1,10,28,26,10r 28deg 26min,visually_transcribed,
53,164,163,127,2,11,10,40,11r 10deg 40min,visually_transcribed,
54,164,163,127,3,11,22,46,11r 22deg 46min,visually_transcribed,
55,164,163,127,4,0,4,49,0r 4deg 49min,visually_transcribed,
56,164,163,127,5,0,16,52,0r 16deg 52min,visually_transcribed,
57,164,163,127,6,0,28,58,0r 28deg 58min,visually_transcribed,
58,164,163,127,7,1,11,10,1r 11deg 10min,visually_transcribed,
59,164,163,127,8,1,23,31,1r 23deg 31min,visually_transcribed,
60,164,163,127,9,2,6,5,2r 6deg 5min,visually_transcribed,
61,164,163,127,10,2,18,52,2r 18deg 52min,visually_transcribed,
62,164,163,127,11,3,1,55,3r 1deg 55min,visually_transcribed,
63,164,163,127,12,3,15,14,3r 15deg 14min,visually_transcribed,
64,164,163,127,13,3,28,47,3r 28deg 47min,visually_transcribed,
65,164,163,127,14,4,12,35,4r 12deg 35min,visually_transcribed,
66,164,163,127,15,4,26,34,4r 26deg 34min,visually_transcribed,
67,164,163,127,16,5,10,44,5r 10deg 44min,visually_transcribed,
68,164,163,127,17,5,24,59,5r 24deg 59min,visually_transcribed,
69,164,163,127,18,6,9,18,6r 9deg 18min,visually_transcribed,
70,164,163,127,19,6,23,36,6r 23deg 36min,visually_transcribed,
71,164,163,127,20,7,7,51,7r 7deg 51min,visually_transcribed,
72,164,163,127,21,7,21,58,7r 21deg 58min,visually_transcribed,
73,164,163,127,22,8,5,55,8r 5deg 55min,visually_transcribed,
74,164,163,127,23,8,19,40,8r 19deg 40min,visually_transcribed,
75,164,163,127,24,9,3,10,9r 3deg 10min,visually_transcribed,
76,164,163,127,25,9,16,25,9r 16deg 25min,visually_transcribed,
77,164,163,127,26,9,29,24,9r 29deg 24min,visually_transcribed,
78,164,163,127,27,10,12,8,10r 12deg 8min,visually_transcribed,
79,164,163,127,28,10,24,39,10r 24deg 39min,visually_transcribed,
80,165,164,128,1,11,6,58,11r 6deg 58min,visually_transcribed,
81,165,164,128,2,11,19,8,11r 19deg 8min,visually_transcribed,
82,165,164,128,3,0,1,13,0r 1deg 13min,visually_transcribed,
83,165,164,128,4,0,13,15,0r 13deg 15min,visually_transcribed,
84,165,164,128,5,0,25,19,0r 25deg 19min,visually_transcribed,
85,165,164,128,6,1,7,27,1r 7deg 27min,visually_transcribed,
86,165,164,128,7,1,19,43,1r 19deg 43min,visually_transcribed,
87,165,164,128,8,2,2,10,2r 2deg 10min,visually_transcribed,
88,165,164,128,9,2,14,49,2r 14deg 49min,visually_transcribed,
89,165,164,128,10,2,27,43,2r 27deg 43min,visually_transcribed,
90,165,164,128,11,3,10,53,3r 10deg 53min,visually_transcribed,
91,165,164,128,12,3,24,18,3r 24deg 18min,visually_transcribed,
92,165,164,128,13,4,7,58,4r 7deg 58min,visually_transcribed,
93,165,164,128,14,4,21,52,4r 21deg 52min,visually_transcribed,
94,165,164,128,15,5,5,56,5r 5deg 56min,visually_transcribed,
95,165,164,128,16,5,20,8,5r 20deg 8min,visually_transcribed,
96,165,164,128,17,6,4,26,6r 4deg 26min,visually_transcribed,
97,165,164,128,18,6,18,45,6r 18deg 45min,visually_transcribed,
98,165,164,128,19,7,3,2,7r 3deg 2min,visually_transcribed,
99,165,164,128,20,7,17,13,7r 17deg 13min,visually_transcribed,
100,165,164,128,21,8,1,17,8r 1deg 17min,visually_transcribed_source_consistency_flag," Printed verification relation fails for days 100/148 by -10 arcminutes. Both visible readings retained; which source entry, if any, is erroneous is unresolved."
101,165,164,128,22,8,15,8,8r 15deg 8min,visually_transcribed,
102,165,164,128,23,8,28,47,8r 28deg 47min,visually_transcribed,
103,165,164,128,24,9,12,10,9r 12deg 10min,visually_transcribed,
104,165,164,128,25,9,25,18,9r 25deg 18min,visually_transcribed,
105,165,164,128,26,10,8,11,10r 8deg 11min,visually_transcribed,
106,165,164,128,27,10,20,48,10r 20deg 48min,visually_transcribed,
107,165,164,128,28,11,3,14,11r 3deg 14min,visually_transcribed,
108,166,165,129,1,11,15,28,11r 15deg 28min,visually_transcribed,
109,166,165,129,2,11,27,36,11r 27deg 36min,visually_transcribed,
110,166,165,129,3,0,9,39,0r 9deg 39min,visually_transcribed,
111,166,165,129,4,0,21,41,0r 21deg 41min,visually_transcribed,
112,166,165,129,5,1,3,46,1r 3deg 46min,visually_transcribed,
113,166,165,129,6,1,15,58,1r 15deg 58min,visually_transcribed,
114,166,165,129,7,1,28,18,1r 28deg 18min,visually_transcribed,
115,166,165,129,8,2,10,50,2r 10deg 50min,visually_transcribed,
116,166,165,129,9,2,23,36,2r 23deg 36min,visually_transcribed,
117,166,165,129,10,3,6,37,3r 6deg 37min,visually_transcribed,
118,166,165,129,11,3,19,54,3r 19deg 54min,visually_transcribed,
119,166,165,129,12,4,3,26,4r 3deg 26min,visually_transcribed,
120,166,165,129,13,4,17,12,4r 17deg 12min,visually_transcribed,
121,166,165,129,14,5,1,11,5r 1deg 11min,visually_transcribed,
122,166,165,129,15,5,15,19,5r 15deg 19min,visually_transcribed,
123,166,165,129,16,5,29,34,5r 29deg 34min,visually_transcribed,
124,166,165,129,17,6,13,52,6r 13deg 52min,visually_transcribed,
125,166,165,129,18,6,28,10,6r 28deg 10min,visually_transcribed,
126,166,165,129,19,7,12,25,7r 12deg 25min,visually_transcribed,
127,166,165,129,20,7,26,33,7r 26deg 33min,visually_transcribed,
128,166,165,129,21,8,10,32,8r 10deg 32min,visually_transcribed,
129,166,165,129,22,8,24,18,8r 24deg 18min,visually_transcribed,
130,166,165,129,23,9,7,50,9r 7deg 50min,visually_transcribed,
131,166,165,129,24,9,21,7,9r 21deg 7min,visually_transcribed,
132,166,165,129,25,10,4,8,10r 4deg 8min,visually_transcribed,
133,167,166,130,1,10,16,54,10r 16deg 54min,visually_transcribed,
134,167,166,130,2,10,29,26,10r 29deg 26min,visually_transcribed,
135,167,166,130,3,11,11,46,11r 11deg 46min,visually_transcribed,
136,167,166,130,4,11,23,58,11r 23deg 58min,visually_transcribed,
137,167,166,130,5,0,6,3,0r 6deg 3min,visually_transcribed,
138,167,166,130,6,0,18,5,0r 18deg 5min,visually_transcribed,
139,167,166,130,7,1,0,8,1r 0deg 8min,visually_transcribed,
140,167,166,130,8,1,12,16,1r 12deg 16min,visually_transcribed,
141,167,166,130,9,1,24,30,1r 24deg 30min,visually_transcribed,
142,167,166,130,10,2,6,56,2r 6deg 56min,visually_transcribed, Faint printing checked in 300dpi crop; visible digits retained.
143,167,166,130,11,2,19,33,2r 19deg 33min,visually_transcribed,
144,167,166,130,12,3,2,26,3r 2deg 26min,visually_transcribed,
145,167,166,130,13,3,15,34,3r 15deg 34min,visually_transcribed,
146,167,166,130,14,3,28,57,3r 28deg 57min,visually_transcribed,
147,167,166,130,15,4,12,36,4r 12deg 36min,visually_transcribed,
148,167,166,130,16,4,26,17,4r 26deg 17min,visually_transcribed_source_consistency_flag," Printed verification relation fails for days 100/148 by -10 arcminutes. Both visible readings retained; which source entry, if any, is erroneous is unresolved. Faint printing checked in 300dpi crop; visible digits retained."
149,167,166,130,17,5,10,31,5r 10deg 31min,visually_transcribed,
150,167,166,130,18,5,24,42,5r 24deg 42min,visually_transcribed,
151,167,166,130,19,6,8,59,6r 8deg 59min,visually_transcribed,
152,167,166,130,20,6,23,18,6r 23deg 18min,visually_transcribed,
153,167,166,130,21,7,7,36,7r 7deg 36min,visually_transcribed,
154,167,166,130,22,7,21,48,7r 21deg 48min,visually_transcribed,
155,167,166,130,23,8,5,52,8r 5deg 52min,visually_transcribed, Faint printing checked in 300dpi crop; visible digits retained.
156,167,166,130,24,8,19,46,8r 19deg 46min,visually_transcribed,
157,167,166,130,25,9,3,26,9r 3deg 26min,visually_transcribed,
158,168,167,131,1,9,16,51,9r 16deg 51min,visually_transcribed,
159,168,167,131,2,10,0,1,10r 0deg 1min,visually_transcribed,
160,168,167,131,3,10,12,55,10r 12deg 55min,visually_transcribed,
161,168,167,131,4,10,25,34,10r 25deg 34min,visually_transcribed,
162,168,167,131,5,11,8,1,11r 8deg 1min,visually_transcribed,
163,168,167,131,6,11,20,17,11r 20deg 17min,visually_transcribed,
164,168,167,131,7,0,2,25,0r 2deg 25min,visually_transcribed,
165,168,167,131,8,0,14,29,0r 14deg 29min,visually_transcribed,
166,168,167,131,9,0,26,31,0r 26deg 31min,visually_transcribed,
167,168,167,131,10,1,8,36,1r 8deg 36min,visually_transcribed,
168,168,167,131,11,1,20,46,1r 20deg 46min,visually_transcribed,
169,168,167,131,12,2,3,5,2r 3deg 5min,visually_transcribed,
170,168,167,131,13,2,15,36,2r 15deg 36min,visually_transcribed,
171,168,167,131,14,2,28,20,2r 28deg 20min,visually_transcribed,
172,168,167,131,15,3,11,19,3r 11deg 19min,visually_transcribed,
173,168,167,131,16,3,24,34,3r 24deg 34min,visually_transcribed,
174,168,167,131,17,4,8,4,4r 8deg 4min,visually_transcribed,
175,168,167,131,18,4,21,49,4r 21deg 49min,visually_transcribed,
176,168,167,131,19,5,5,46,5r 5deg 46min,visually_transcribed,
177,168,167,131,20,5,19,53,5r 19deg 53min,visually_transcribed,
178,168,167,131,21,6,4,8,6r 4deg 8min,visually_transcribed,
179,168,167,131,22,6,18,26,6r 18deg 26min,visually_transcribed,
180,168,167,131,23,7,2,45,7r 2deg 45min,visually_transcribed,
181,168,167,131,24,7,17,0,7r 17deg 0min,visually_transcribed,
182,168,167,131,25,8,1,10,8r 1deg 10min,visually_transcribed,
183,169,168,132,1,8,15,9,8r 15deg 9min,visually_transcribed,
184,169,168,132,2,8,28,57,8r 28deg 57min,visually_transcribed,
185,169,168,132,3,9,12,30,9r 12deg 30min,visually_transcribed,
186,169,168,132,4,9,25,49,9r 25deg 49min,visually_transcribed,
187,169,168,132,5,10,8,52,10r 8deg 52min,visually_transcribed,
188,169,168,132,6,10,21,39,10r 21deg 39min,visually_transcribed,
189,169,168,132,7,11,4,13,11r 4deg 13min,visually_transcribed,
190,169,168,132,8,11,16,34,11r 16deg 34min,visually_transcribed,
191,169,168,132,9,11,28,46,11r 28deg 46min,visually_transcribed,
192,169,168,132,10,0,10,52,0r 10deg 52min,visually_transcribed,
193,169,168,132,11,0,22,55,0r 22deg 55min,visually_transcribed,
194,169,168,132,12,1,4,58,1r 4deg 58min,visually_transcribed,
195,169,168,132,13,1,17,4,1r 17deg 4min,visually_transcribed,
196,169,168,132,14,1,29,18,1r 29deg 18min,visually_transcribed,
197,169,168,132,15,2,11,42,2r 11deg 42min,visually_transcribed,
198,169,168,132,16,2,24,18,2r 24deg 18min,visually_transcribed,
199,169,168,132,17,3,7,9,3r 7deg 9min,visually_transcribed,
200,169,168,132,18,3,20,15,3r 20deg 15min,visually_transcribed,
201,169,168,132,19,4,3,37,4r 3deg 37min,visually_transcribed,
202,169,168,132,20,4,17,14,4r 17deg 14min,visually_transcribed,
203,169,168,132,21,5,1,5,5r 1deg 5min,visually_transcribed,
204,169,168,132,22,5,15,7,5r 15deg 7min,visually_transcribed,
205,169,168,132,23,5,29,17,5r 29deg 17min,visually_transcribed,
206,169,168,132,24,6,13,34,6r 13deg 34min,visually_transcribed,
207,169,168,132,25,6,27,53,6r 27deg 53min,visually_transcribed,
208,170,169,133,1,7,12,11,7r 12deg 11min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
209,170,169,133,2,7,26,24,7r 26deg 24min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
210,170,169,133,3,8,10,29,8r 10deg 29min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
211,170,169,133,4,8,24,23,8r 24deg 23min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
212,170,169,133,5,9,8,5,9r 8deg 5min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
213,170,169,133,6,9,21,32,9r 21deg 32min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
214,170,169,133,7,10,4,44,10r 4deg 44min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
215,170,169,133,8,10,17,40,10r 17deg 40min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
216,170,169,133,9,11,0,21,11r 0deg 21min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
217,170,169,133,10,11,12,49,11r 12deg 49min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
218,170,169,133,11,11,25,6,11r 25deg 6min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
219,170,169,133,12,0,7,14,0r 7deg 14min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
220,170,169,133,13,0,19,18,0r 19deg 18min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
221,170,169,133,14,1,1,20,1r 1deg 20min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
222,170,169,133,15,1,13,25,1r 13deg 25min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
223,170,169,133,16,1,25,34,1r 25deg 34min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
224,170,169,133,17,2,7,52,2r 7deg 52min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
225,170,169,133,18,2,20,21,2r 20deg 21min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
226,170,169,133,19,3,3,4,3r 3deg 4min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
227,170,169,133,20,3,16,2,3r 16deg 2min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
228,170,169,133,21,3,29,15,3r 29deg 15min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
229,170,169,133,22,4,12,43,4r 12deg 43min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
230,170,169,133,23,4,26,27,4r 26deg 27min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
231,170,169,133,24,5,10,22,5r 10deg 22min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
232,170,169,133,25,5,24,29,5r 24deg 29min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
233,170,169,133,26,6,8,42,6r 8deg 42min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
234,170,169,133,27,6,23,0,6r 23deg 0min,visually_transcribed,"Running header says 208-232; body has 27 rows, days 208-234."
235,171,170,134,1,7,7,19,7r 7deg 19min,visually_transcribed,"Running header says 233-248; body begins explicit day 235 and has 14 rows, through 248."
236,171,170,134,2,7,21,36,7r 21deg 36min,visually_transcribed,"Running header says 233-248; body begins explicit day 235 and has 14 rows, through 248."
237,171,170,134,3,8,5,46,8r 5deg 46min,visually_transcribed,"Running header says 233-248; body begins explicit day 235 and has 14 rows, through 248."
238,171,170,134,4,8,19,46,8r 19deg 46min,visually_transcribed,"Running header says 233-248; body begins explicit day 235 and has 14 rows, through 248."
239,171,170,134,5,9,3,35,9r 3deg 35min,visually_transcribed,"Running header says 233-248; body begins explicit day 235 and has 14 rows, through 248."
240,171,170,134,6,9,17,11,9r 17deg 11min,visually_transcribed,"Running header says 233-248; body begins explicit day 235 and has 14 rows, through 248."
241,171,170,134,7,10,0,31,10r 0deg 31min,visually_transcribed,"Running header says 233-248; body begins explicit day 235 and has 14 rows, through 248."
242,171,170,134,8,10,13,35,10r 13deg 35min,visually_transcribed,"Running header says 233-248; body begins explicit day 235 and has 14 rows, through 248."
243,171,170,134,9,10,26,25,10r 26deg 25min,visually_transcribed,"Running header says 233-248; body begins explicit day 235 and has 14 rows, through 248."
244,171,170,134,10,11,9,0,11r 9deg 0min,visually_transcribed,"Running header says 233-248; body begins explicit day 235 and has 14 rows, through 248."
